appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Malgorzata Lagisz,s_39,Sex diference of pre- and post-natal  exposure to six developmental neurotoxicants  on intellectual abilities: a systematic review  and meta-analysis of human studies,9:18,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,9:30
Kyle Morrison,s_39,Sex diference of pre- and post-natal  exposure to six developmental neurotoxicants  on intellectual abilities: a systematic review  and meta-analysis of human studies,11:34,Yes,stata,No,stata has an option for syntax,Yes,,No,,No,,No,,No,reports weights but not weighting strategy,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,11:42
Ayumi Mizuno,s_39,Sex diference of pre- and post-natal  exposure to six developmental neurotoxicants  on intellectual abilities: a systematic review  and meta-analysis of human studies,12:42,Yes,"All statistical analyses were run using Stata 17.0 (Stata Corporation, College Station, TX, U.S.A.)",,,Yes,"[Study section] 
Of the 51 studies included in the systematic review, 20 were included in the meta-analyses.",No,,Yes,"[Additional file 1] and [Studies suitable for quantitative synthesis], and [Effect size transformation] ",Yes,"[Meta analysis] 
We ran separate random effects meta-analyses using the DerSimonian-Laird method [47] examining the male- and female-specific effects of prenatal exposures on general, nonverbal, and verbal intelligence.",Yes,"Figures.
The blue boxes correspond to each reference’s beta coefficient and the size of the blue box represents the weight of the study in the meta-analysis, based on its’ standard error. 

After reading the figure legends in this paper, I finally understood the meaning of “weight” in the figures. I am sorry that in my previous answers in papers using STATA, I had ambiguously filled in this part.",No,,Yes,Result figures,Yes,"[Heterogeneity and publication bias] We assessed the heterogeneity of studies using the τ2, I2 and H2 statistics.",Yes,"[Additional file 5] and [Heterogeneity and publication bias]
 We used Egger’s Test to assess potential publication bias via funnel plot asymmetry [49].",Yes,"[Sensitivity analyses]
In both males and females, the overall effect size of prenatal exposure and general, nonverbal, and verbal intelligence does not vary substantially regardless of the study excluded (see Supplemental Figs. 9, 10, 11, 12, 13, 14). However, for postnatal lead exposure in males, the overall effect size varies widely from -0.78 to -1.65, depending on the study excluded (see Supplemental Fig. 15). Similarly, in females, the overall effect size varies greatly from 0.15 to -1.34 (see Supplemental Fig. 16). The overall pooled effects of neurotoxicants on general and nonverbal intelligence in males and females did not change appreciably when only low risk of bias studies were included (see Supplemental Figs. 17, 18, 19, 20). However, the overall pooled effect for verbal intelligence became more negative (-0.02 to -0.57; but remained nonsignificant) in males and became more positive (0.19 to 0.28; but remained nonsignificant) in females (see Supplemental Figs. 21 and 22).",Yes,"[Availability of data and materials]
All data generated or analyzed during this study are included in this published article and its additional files.",Yes,Additional file 2,"I have done other things along the way, so please subtract about 15 mins from the total time. I am sorry for leaving a comment unrelated to the application.",13:24
Erin Macartney,s_40,Synergistic improvement of carbon sequestration and crop yield by organic material addition in saline soil: A global meta-analysis,14:41,Yes,“webMASEM” platform (https://sjak.shinyapps. io/webMASEM/) and AMOS software 21.0,No,,Yes,,Yes,Fig. 3 - assuming n is the number of effect sizes rather than the number of studies,Yes,,Yes,,No,,No,,No,"They don't report the overall mean, just many means based on moderators/sub-analyses etc",No,They say it's in table S4 but I can't find it,Yes,"""The effect was considered significant if the 95 % CI of lnRR’ did not overlap with 0. The potential effects of publication bias were excluded by fail-safe number tests using METAWIN 2.1""",No,,No,"""The data that support the findings of this study would be openly available online pending the acceptance of the paper."" but there is no link",No,they report what was extracted but do not include descriptions,,14:56
Kyle Morrison,s_40,Synergistic improvement of carbon sequestration and crop yield by organic material addition in saline soil: A global meta-analysis,8:39,Yes,"In order to understand the mechanism of organic material addition on soil carbon budget and crop yield, we developed a structural equation model (SEM) using the “webMASEM” platform (https://sjak.shinyapps.io/webMASEM/) and AMOS software 21.0 (Jak et al., 2021; Eisenhauer et al., 2015).",No,"AMOS is SEM for SPSS, and seems to be click bases but this is tricky and may be source of confusion",Yes,,Yes,,Yes,,Yes,,No,states weights but not how they were calculated,No,,No,Does seem to provide an overall mean and just means of the subgroup,No,states that is in Table s4 but there is no supplement with the full text,Yes,The effect was considered significant if the 95 % CI of lnRR’ did not overlap with 0. The potential effects of publication bias were excluded by fail-safe number tests using METAWIN 2.1,No,,No,The data that support the findings of this study would be openly available online pending the acceptance of the paper.,,,,8:46
Simone Cardoso,s_41,"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",15:20,Yes,"Methods section, Subheading ""Statistical Analysis"", last paragraph.",No,,Yes,"Results section, Subheading ""Selected study results"", last paragraph; Figure 1.",No,,No,,Yes,"Methods section; subheading ""Statistical analysis"", first paragraph.",No,,Yes,,Yes,Figure 3,Yes,"Methods section, subheading ""Statistical analysis"", 4th paragraph; Multiple paragraphs in the results section.",Yes,"Methods section, subheading ""Statistical analysis"", 8th paragraph.",Yes,"Methods section, subheading ""Statistical analysis"", 7th paragraph; Results section, subheading ""Publication bias"".",Yes,Table 1,Yes,Table 1,"The tables were large, taking up a significant part of the manuscript.",15:47
Kyle Morrison,s_41,"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",13:43,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,13:48
Harriet Sleight,s_41,"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",10:40,Yes,All statistical analyses were performed using Stata version 16.0,No,"The authors have used Stata which is a GUI but it does have the option of producing a coding log. A coding log has not been reported, and therefore I have selected 'No' because 'Not applicable' would only be relevant for GUIs which do not produce a code. ",Yes,"17 studies were included in the meta-analysis, as stated in the results section 'selected study results'.  A PRISMA style diagram is given as Figure 1.",No,,No,,Yes,Fixed-effects and random-effects model stated in 'statistical analysis' section of methods,No,,No,,Yes,,Yes,Heterogeneity is reported as I^2 in Table 2.,Yes,"Publication bias is estimated using Egger's test and presented in the final paragraph of the results section, with additional information supplied in the supplementary (Figure S4, Figure S5).",Yes,"Sensitivity analysis is presented in the supplementary material in Figure S1, results are briefly stated in the manuscript text",Yes,Data from the included studies is presented in Table 1 of the manuscript,Yes,"The variables extracted are stated clearly in the 'Data extraction and literature quality assessment' section of the methods.  Although the variables are not described explicitly, I have answered 'Yes' because the variables are clear without any further description. ",,11:16
Verónica Ferreira,s_41,"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",16:27,Yes,"'All statistical analyses were performed using Stata version 16.0 (Stata Corp, College Station, TX, USA).'",,click based software was used,Yes,Fig. 1,Yes,"Number of effects sizes not stated in the text, but possible to count on the forest plots shown in the supplementary material",No,,Yes,"'estimating the combined risk and 95% confidence interval (CI) by the fixed-effects and random-effects model'
'The pooled results of the fixed effect model show...'
'BC by combining a random-effects model with various studies'",Yes,fugires show 95%CI associated with effect sizes,No,"The authors does not state that multiple effects sizes were derived from each study ('No' selected above), but we can see that they do from the forest plots",Yes,Forest plots,Yes,"'Heterogeneity was tested through the I2'
I2 results on the forest plots",Yes,"'Publication bias was assessed by Egger’s test (Egger et al. 1997).'
Figures in the supplementary material",Yes,"'In the sensitivity analysis, we use the leave-one-out method to estimate the robustness of the results.'
Figures in the supplementary material",No,No primary data used for estimation of effect sizes is shown,Yes,Table 1,,16:40
Kok Sin Woon,s_41,"Systematic review and meta-analysis of breast cancer risks in relation to 2,3,7,8-tetrachlorodibenzo-p-dioxin and per- and polyfluoroalkyl substances",9:00,Yes,All statistical analyses were performed using Stata version 16.0 (page 86542),No,,Yes,"A total of 2713 records were retrieved from the 5 databases (from inception to October 2022), of which 1262 were retained after deduction deduplicates. Subsequently, title and abstract screening, 35 review articles, letters, or comments, 1191 unrelated articles, and 4 animal studies were eliminated, leaving 32 articles available for full-text screening. After a full-text review of the remaining 32 articles, 16 studies were excluded. To ensure the comprehensiveness of the research, we further manually searched the reference lists of relevant articles, but no additional eligible records were identified. Therefore, the final 17 studies were included in the meta-analysis.(page 86542)

Prisma Model (page 86543)",Yes,"Meta-analysis showed that TCDD (OR = 1.00, 95% CI = 0.89–1.12, I2 = 39.3%, P = 0.144), PFOA (OR = 1.07, 95% CI = 0.84–1.38, I2 = 85.9%, P < 0.001), PFOS (OR = 1.01, 95% CI = 0.95–1.08, I2 = 65.7%, P < 0.001), PFNA (OR = 0.89, 95% CI = 0.67–1.19, I2 = 74.4%, P < 0.001), and PFHxS (OR = 0.90, 95% CI = 0.72–1.13, I2 = 74%, P < 0.001) were not
significantly correlated with breast cancer. (abstract)",Yes,"OR was used for all risk estimates. We ignored the distinction among various measures of relative risk (i.e., OR, RR, and HR) on the assumption that TCDD, PFAS associated BC are sufficiently rare (pg 86542)",Yes,"Heterogeneity was tested through the I2 statistics and Cochrane’s Q test. If the I2 statistic > 50%, the heterogeneity among studies was high, and the random-effects model would be used; on the contrary, if the I2 statistic < 50%, the heterogeneity between studies was low, and the fixed-effects model would be used (pg 86542)",Yes,"Heterogeneity was tested through the I2 statistics and Cochrane’s Q test. If the I2 statistic > 50%, the heterogeneity among studies was high, and the random-effects model would be used; on the contrary, if the I2 statistic < 50%, the heterogeneity between studies was low, and the fixed-effects model would be used. (pg 86542)",Yes,"Although no significant heterogeneity was found between studies, we found more results through subgroup analysis of exposure patterns. According to the results of subgroup analysis, internal exposure showed a significant positive association between TCDD and BC (OR = 2.85, 95% CI = 1.23–6.59, I2 = 0.0%, P = 0.882). Sensitivity analysis by omitting one study at a time showed that the association between TCDD and BC was stable and not affected by any single study",Yes,"In general, there is no risk association between PFAS (pooled OR = 1.02, 95% CI = 0.96–1.09, I2 = 76.8%, P < 0.001) and BC. (pg 86551)",Yes,"However, there was considerable heterogeneity among the effect quantities included in the study (PFOA, I2 = 85.9%, P < 0.001; PFOS, I2 = 65.7%, P < 0.001; PFNA, I2 = 74.4%, P < 0.001; PFHxS, I2 = 74%, P < 0.001). (pg 86543)",Yes,"Using Egger’s test, we assess the potential publication bias
in association between TCDD and PFAS (PFOA, PFNA,
PFOS, and PFHxS) exposure with BC. The results showed
that no publication bias was observed in the TCDD (P =
0.171), PFAS (PFOA: P = 0.549; PFOS: P = 0.607; PFNA:
P = 0.259; PFHxS: P = 0.174) exposure, and BC studies
(P > 0.05) (Figs. S4–S5). (pg 86552)",Yes,"In the sensitivity analysis, omitting the results of one study at a time found that the summary results are positively correlated after removing Itoh et al.’s research from PFOS studies (pg 86552)",Yes,"The information we extracted from all eligible studies
included first author, year of publication, region or country,
the age of participants, sample size, study design, exposures,
exposure assessment, adjustment factors, and effect estimate
(OR/HR/RR, 95%CI). (pg 86542)",No,,"In this study, the authors mentioned about what kind of data is included for calculate the effect sizes and meta-analysis, but did not provide the raw data and description. Hence, I ticked ""yes"" for Question 13 and ""no"" for Question 14.",9:45
Silvina Magdalena Manrique,s_42,The association between exposure to polycyclic aromatic hydrocarbons and  birth outcomes: A systematic review and meta-analysis of  observational studies ,20:15,Yes,"Stata software version 16 (Stata Corp LP, 100 College Station, Texas) was used to analyze the statistical data.
",,,Yes,"We excluded 121 articles based on the abstract review and then excluded 22 articles according to the full-text review, resulting in a total of 31 articles (n = 703,080 participants) included in our review, from which eight studies were entered into the meta-analyses
",Yes,"Fig 2, 3, 4, 5, 6  and 7",Yes,"Fig. 3. Odds ratio of exposure to PAHs during pregnancy and low birth weight. 
",Yes,"Random effects meta-analysis was applied to synthesize the association estimates
",No,,No,,No,,Yes,"The heterogeneity between studies was investigated using Cochran’s Q test and quantified applying I 2
",Yes,"Publication bias was assessed using Egger’s regression and Funnel plots (Egger et al., 1997).
",Yes,"The leave-one-out sensitivity analyses were conducted for each metaanalysis result to illustrate the robustness of the resu
",Yes,Table 1,Yes,Table 1,,20:24
Francesco Latterini,s_42,The association between exposure to polycyclic aromatic hydrocarbons and  birth outcomes: A systematic review and meta-analysis of  observational studies ,12:05,Yes,,,,Yes,,Yes,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,,12:13
Kyle Morrison,s_42,The association between exposure to polycyclic aromatic hydrocarbons and  birth outcomes: A systematic review and meta-analysis of  observational studies ,11:15,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,11:18
Evangelia Ntzani,s_42,The association between exposure to polycyclic aromatic hydrocarbons and  birth outcomes: A systematic review and meta-analysis of  observational studies ,8:40,Yes,"Stata software version 16 (Stata Corp LP, 100 College Station, Texas) was used to analyze the statistical data.",No,Code not reported,Yes,"A total of 5235 articles with 2155 duplicates were retrieved by our
primary search, of which 174 articles were selected for abstract
screening after screening the title of articles (Fig. 1). We excluded 121
articles based on the abstract review and then excluded 22 articles according
to the full-text review, resulting in a total of 31 articles (n =
703,080 participants) included in our review, from which eight studies
were entered into the meta-analyses ",Yes,Effect estimates numbers reported in each meta-analysis subsection ,No,Formula (reference thereof) not reported.,Yes,"Given the limited number of studies included in
each meta-analysis and hence the limited statistical power of Cochran’s
Q test, as a conservative approach, we decided to conduct a random
effect meta-analysis for all evaluated associations.",Yes,Table 1 and forest plots ,No,Not reported ,Yes,Figures 2 to 7 plus text,Yes,Figures 2 to 7 plus text,Yes,"Publication bias was assessed using Egger’s regression and Funnel
plots (Egger et al., 1997). 

We assessed the publication bias independently for each meta-
analysis using Egger’s model. As presented in the funnel plot of the
studies on the relationship between exposure to urinary 1-OHP and BW
(Fig. S3 of Supplemental materials), there was an indication of publication
bias for these studies (beta for Egger’s regression = − 1.98,
standard error =0.99, P-value =0.04). However, we did not observe
any indication of a potential publication bias for studies reporting on the
association between PAHs exposure and LBW (beta for egger’s regression
=1.76, standard error =0.64, P-value =0.09) (Fig. S4 of Supplemental
materials). Similarly, as presented in Fig. S5, we did not observe
any indication of a notable publication bias for the studies investigating
the association of urinary 1-OHP with BL (beta for egger’s regression =
− 0.75, standard error =0.71, P-value =0.29). Regarding the association
of PAHs metabolites with HC, the beta for egger’s regression was
− 1.26 (standard error =0.71, P-value =0.07) which did not indicate a
statistically significant publication bias (Fig. S6 of Supplemental materials).
For studies on the relationship between exposure to urinary 1-
OHP and PI as well as CI (Fig. S7 and S8 of Supplemental materials),
we did not observe any publication bias (beta for Egger’s regression =
0.99 and 0.15, standard error =1.15 and 1.36, P-value =0.39 and 0.90,
for PI and CI, respectively).",Yes,"After conducting sensitivity analyses by removing one study at a time
from the meta-analyses (leave-one-out), we did not find any notable
change in our combined estimates, which could imply that these estimates
were not considerably influenced by an influential study (data not
shown).",Yes,"Table 1, Figures 2 to 7

Data extraction file available upon request",No,Descriptions of the variables extracted not provided,Well reported in general. ,9:01
Kiran T M,s_43,The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,12:18,Yes,,,,Yes,,No,,No,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,,,"Overall, this study satisfies the 8 out of 14 items of MATES. ",12:25
Kyle Morrison,s_43,The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,13:15,Yes,,No,used metaxl and stata,Yes,,No,,No,,Yes,,Yes,,Yes,"When there was more than one independent sample set in one study, it should be considered as two diferent studies. ",Yes,,Yes,,Yes,,Yes,,No,need to discuss as provides variables but not the actual measures of mean and sd,No,,,13:21
Mojtaba Keikha,s_43,The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,18:28,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,Yes,,This article was a high quality paper.,18:34
Silvina Magdalena Manrique,s_43,The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,20:25,Yes,"MetaXL 5.3 (http:// www. epige ar. com/ index_files/ metaxl. html) was mainly used for meta-analysis. The meta-regressions were completed in Stata SE 15, 
",Yes,"and the detailed theoretical basis and program can be found in the paper provided by Xu et al. (Xu and Doi 2018).
",Yes,"Figure 1
",Yes,"Figure 2
",Yes,"""The RR was selected as the common measure of the relationship between road traffic noise and T2DM risk.  Two alternative
meta-analysis estimators, including the random effects (RE)
model and the quality effects (QE) model, were mainly used
to evaluate the effect estimation.""
",Yes,"Table 4
",No,,No,,Yes,Figure 2,Yes,"Heterogeneity was evaluated by Cochran’s Q with a significance level at p < 0.1 and quantified by the I2 statistic
",Yes,"The possibility of publication bias was assessed by the Doi plots and Luis Furuya-Kanamori index
",Yes,"Sensitivity analysis was carried out to evaluate the contribution of each study on the overall estimate
",Yes,"Table 2
",Yes,"Table 2
",,20:32
Francesco Latterini,s_43,The association between road traffic noise and type 2 diabetes: a systematic review and meta-analysis of cohort studies,12:25,Yes,,,,Yes,,No,,No,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,No,,No,,,12:31
April Robin Martinig,s_44,The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,12:27,Yes,Review Manager and R,No,,Yes,,No,,Yes,"Sort of? They are very vague about it, but do eventually go on to include a citation (Chinn 2000).",No,,No,,No,,Yes,Table 2 first row,Yes,,Yes,,Yes,,No,"Some of it appears available in the tables in the supplement, but the author statement: ""Data will be made available on request.""",,,,12:39
Kyle Morrison,s_44,The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,15:00,Yes,,No,uses r and spss and no code for R,Yes,,No,,Yes,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,15:11
Patrice Pottier,s_44,The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,8:57,Yes,"We used Review Manager (Version 5.4) and software R, version 4.2.3 (R Core Team, 2023) for the analysis",No,,Yes,,No,"The sample size for each outcome is presented in Table 2, but the numbers need to be added to infer the total number of effect sizes.",No,"No, but the authors extracted effect sizes that were already calculated from original studies (OR, RR, HR). So it makes sense they don't report the formula. ",Yes,We used random-effect models for meta-analyses if we observed heterogeneity in the fixed-effect models,No,,No,They used a radnom-effects model but do not discuss the dependence of effect sizes among studies.,Yes,"Hard to say if it's a ""yes"" or ""no"" here. The authors did a wide range of meta-regressions, and it doesn't seem like the objective was to measure an ""overall"" effect. ",Yes,,Yes,,Yes,Subgroup analyses,No,"Data will be made available on request.

",,Data will be made available on request.,"The study extracted effect sizes that were already calculated in primary studies. I put ""No"", but it's probably more relevant to use ""NA"" here for item 5. For item 6, the authors used a random effect when they found heterogeneity, but it's unclear which model was random, and which one was fixed. For item 9, I put ""yes"", because the authors report the effects sizes of their meta-regressions, but it doesn't seem like they had an ""overall"" effect or objective. I",9:16
Coralie Williams,s_44,The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,14:14,Yes,"""We used Review Manager (Version 5.4) and software R, version 4.2.3 (R Core Team, 2023) for the analysis. """,No,,Yes,"""Overall, 54 studies were included for qualitative syntheses and 36 studies were included for quantitative syntheses (Fig. S1 in the Supplement).""",No,,Yes,"**not sure it's a description of how the effect sizes were calculated: ""We calculated the pooled OR using the method of generic inverse variance to measure the associations. Despite the various forms for collecting SHS exposure, ranging from yes/no to heavy/low sets by using binary or multiple-level categorical variables, we chose and pooled their ORs for meta-analysis. The studies' RRs and HRs were directly considered as ORs. For studies that used cotinine levels as SHS exposure, we transformed the cotinine ORs into standardized mean difference (SMD) for pooled risk estimates (Chinn, 2000).""",Yes,"""We used random-effect models for meta-analyses if we observed heterogeneity in the fixed-effect models. """,Yes,"""We calculated the pooled OR using the method of generic inverse variance to measure the associations.""",No,,Yes,results and supplementary,Yes,I^2,Yes,"""Funnel plots and Egger's regression test were used to assess the probability of publication bias among the studies.""",Yes,"""We also conducted sensitivity analysis by trim-and-fill method to assess the models' robustness.""",No,,,,,14:31
Pietro Pollo,s_45,The associations of secondhand smoke exposure with neurodevelopmental disorders and critical time window identification: A systematic review and meta-analysis,15:30,Yes,"Page 3, section 2,4: We used Review Manager (Version 5.4) and software R, version 4.2.3 (R Core Team, 2023) for the analysis.",,click based software,Yes,"Page 3, section 3.1",No,Not found,No,"Mentioned odds ratios, relative risks and hazard ratios, but no formulas or references on them were given.",Yes,"Page 3, section 2.4: ""We used random-effect models for meta-analyses if we observed heterogeneity in the fixed-effect models.""",No,"Unsure whether this suffices: ""We calculated the pooled OR using the method of generic inverse variance to measure the associations.""",No,Not found,Yes,"Page 4, table 2: effect sizes given for different subgroups.",Yes,"Page 4, table 2.",Yes,"Page 4, section 3.3.",Yes,"Page 2, section 2.2: authors used a within study risk of bias assessment.",No,Not given,,Data not given,,15:44
Malgorzata Lagisz,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,7:11,Yes,,No,,Yes,,Yes,,Yes,,No,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,No,,No,,,7:20
Patrice Pottier,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,15:38,Yes,Review Manager 5.3,,"The authors used Review Manager, so there is no code involved",Yes,In PRISMA flow diagram and main text,Yes,Report the number of effect sizes in the results section,Yes,"Yes, in methods, but not the formula of the sampling variance.",Yes,"""in case of no heterogeneity, a fixed-effect model was chosen to calculate mean effect size; otherwise a random-effect model was used.""",No,"The authors report the % of weights in a forest plot (Figure 3), but not how the weights were applied or calculated. I put ""No"", but unsure.",Yes,Multiple effect sizes were extracted per study and the authors used a random effects model.,Yes,In the main text and figure 3,Yes,"I2, in the results section",Yes,Funnel plot in Figure 4,Yes,Leave-one-out analysis,No,"""The datasets generated and/or analyzed during the current study are available from the corresponding author.""",,,"Unsure about Mates Item 7. The authors report the % of weights in a figure, but not how weights were calculated or applied to the meta-analysis. ",15:55
Kyle Morrison,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,8:13,Yes,RevMan,,RevMan is point and click,Yes,34 effect sizes described in 17 articles met the selection criteria. ,Yes,34 effect sizes described in 17 articles met the selection criteria. ,Yes,,Yes,,No,Again provided weights but not the strategy,Yes,Acknowledged multiple effect sizes from single study,Yes,Figure 3,Yes,I2,Yes,Funnel plot,Yes,uses leave one out and a within study rob,No,,,,,8:22
Ayumi Mizuno,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,11:51,Yes,"Possibly No. I am not sure whether yes or no.
The authors do not state that they used software (Review Manager) for meta-analysis, although they say they used it to calculate effect sizes (please see below).

[2.4. Statistical Analysis] First, we obtained effect size (ES) data from studies included in the meta-analysis. For studies with means and SDs, ESs were estimated using Review Manager 5.3.",No,,Yes,"[3.1. Search Results] In total, 17 articles were retained for further analysis.",No,,Yes,"[2.4. Statistical Analysis] The standardized mean difference index proposed by Hedges [48] was adopted to calculate ESs: Hedges = M1 − M2/SDpooled, where M1 refers to the mean score of the treatment group, M2 refers to the mean score of the control group, and SDpooled refers to the weighted average of the SD value of both groups. ESs were interpreted based on Cohen’s d, where 0.8 represents a large effect, 0.5 a medium effect, and 0.2 a small effect.",Yes,"[2.4. Statistical Analysis] Following the suggestion of Borenstein et al. [41], in case of no heterogeneity, a fixed-effect model was chosen to calculate mean effect size; otherwise a random-effect model was used",Yes,[2.4. Statistical Analysis] SDpooled refers to the weighted average of the SD value of both groups.,Yes,"[2.2. Coding Procedure] When more than one effect size was reported in a study, dependent effect sizes in the meta-analysis were processed according to the characteristic of its dependency to avoid misestimation of standard errors. ",Yes,Figure 3,Yes,[2.4. Statistical Analysis] the I2 index was used to measure potential heterogeneity ,Yes,Figure 4 (funnel plot),Yes,"[2.5. Sensitivity Analysis and Moderator Analyses] The robustness of the results was examined using the leave-one-out method. That is, if the removal of an individual study results in substantial changes, this is an indication of poor homogeneity and therefore the results are unreliable [51]. In meta-analysis, heterogeneity often exists between studies. When multiple moderators are present, they may amplify or attenuate each other’s influence on the treatment effectiveness. Hence, moderator analyses were conducted to assess heterogeneity by comparing study subsets [52]. As discussed in the literature review section, several variables could potentially affect the effectiveness of educational robots on student learning (e.g., educational level, discipline, and robotic type).
",No,"Maybe Yes?

[Data Availability Statement]The datasets generated and/or analyzed during the current study are available from the corresponding author.",,Maybe No.,,12:24
Damien Beillouin,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,8:18,Yes,"First, we obtained effect size (ES) data from studies included in the meta-analysis. For studies with means and SDs, ESs were estimated using Review Manager 5.3 [46].",No,no information on code availability.,Yes,Table 1. Characteristics of the intervention for each study included in the review.,Yes,Final coding led to the inclusion of 34 (k = 34) independent effect sizes from 17 articles,Yes,"The standardized mean difference index proposed by Hedges [48] was adopted to calculate ESs: Hedges = M1 − M2/SDpooled, where M1 refers to the mean score of the treatment group, M2 refers to the mean score of the control group, and SDpooled refers to the weighted average of the SD value of both group",Yes,3.4. Random-Effect Model Meta-Analysis,Yes,Figure 3. Forest plot of the effect sizes ,Yes,"When more than one effect size was reported in a study, dependent effect sizes in the meta-analysis were processed according to the characteristic of its dependency to avoid misestimation of standard errors..... ",Yes,"a random-effects model was applied. A significant overall effect size (g  =  0.57, 95% CI [0.49, 0.65], p  <  0.00001)",Yes,"Given a high heterogeneity (I2 = 82%, p < 0.00001)",Yes, Figure 4 shows the result of the funnel plot for the 17 articles (k = 34) and it suggests no significant publication bias,Yes,"In addition, the sensitivity analysis showed the results were robust, and the effect size did not vary considerably when the leave-one-out method was used",Yes,Figure 3. Forest plot of the effect sizes,No,"We only have the following sentence in the MM: When multiple moderators are present, they may amplify or attenuate each other’s influence on the treatment effectiveness. Hence, moderator analyses were conducted to assess heterogeneity by comparing study subsets [52]. ",no difficulty to understand this MA,8:37
Lorenzo Ricolfi,s_46,The Effectiveness of Educational Robots in Improving Learning Outcomes: A Meta-Analysis,9:58,No,,No,,Yes,Figure 1,Yes,Final coding led to the inclusion of 34 (k = 34) independent effect sizes from 17 articles.,Yes,"The standardized mean difference index proposed by Hedges [48] was adopted to calculate ESs: Hedges = M1 − M2/SDpooled, where M1 refers to the mean score of the treatment group, M2 refers to the mean score of the control group, and SDpooled refers to the weighted average of the SD value of both groups.",Yes,"Following the suggestion of Borenstein et al. [41], in case of no heterogeneity, a fixedeffect model was chosen to calculate mean effect size; otherwise a random-effect model was used.",No,,Yes,"When more than one effect size was reported in a study, dependent effect sizes in the meta-analysis were processed according to the characteristic of its dependency to avoid misestimation of standard errors.",Yes,figure 3,Yes,,Yes,,Yes,2.5. Sensitivity Analysis and Moderator Analyses,No,The datasets generated and/or analyzed during the current study are available from the corresponding author.,No,,,10:07
Simone Cardoso,s_47,The effects of iron-based nanomaterials (Fe NMs) on plants under stressful environments: Machine learning-assisted meta-analysis,14:35,Yes,"Methods section, subheading ""Meta-analysis"", 7th paragraph.",Yes,"Supplementary material, Figure S3",Yes,Supplementary material; Figure S1,No,,Yes,"Methods section,  subheading ""Meta-analysis"", Second paragraph and following equations.",Yes,"Methods section,  subheading ""Meta-analysis"".",Yes,"Methods and Results sections; Supplementary material, S4.",No,,Yes,"Methods section; Results and Discussion section, different subheadings.",Yes,"Results and Discussion section; Supplementary material, table S4",Yes,"Results and Discussion section; subheading ""Publication bias and sensitivity analysis""",Yes,"Results and Discussion section; subheading ""Publication bias and sensitivity analysis""",Yes,"Supplementary material, table S2",No,,,15:05
Kyle Morrison,s_47,The effects of iron-based nanomaterials (Fe NMs) on plants under stressful environments: Machine learning-assisted meta-analysis,14:26,Yes,,No,,Yes,,No,,Yes,,Yes,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,14:35
